"battleID","pokemon_instanceID","remaining_hp","damage_received","damage_dealt"
"0","10511","24","0","24"
"0","10512","91","0","91"
"0","10513","30","73","51"
"0","10514","16","66","82"
"0","10515","52","0","52"
"0","10516","70","0","119"
"0","8737","0","0","0"
"0","8738","0","18","7"
"0","8739","0","227","227"
"0","8740","0","84","168"
"0","8741","0","0","0"
"0","8742","0","61","61"
"1","2133","31","114","104"
"1","2134","44","11","55"
"1","2135","19","9","28"
"1","2136","0","0","0"
"1","2137","100","0","130"
"1","2138","0","0","0"
"1","10365","0","0","0"
"1","10366","0","84","84"
"1","10367","0","93","93"
"1","10368","0","0","0"
"1","10369","0","0","0"
"1","10370","0","0","0"
"2","11983","0","0","0"
"2","11984","30","70","100"
"2","11985","116","0","116"
"2","11986","1","0","1"
"2","11987","104","0","104"
"2","11988","11","26","14"
"2","12435","0","69","69"
"2","12436","0","96","96"
"2","12437","0","11","6"
"2","12438","0","62","62"
"2","12439","0","3","3"
"2","12440","0","114","114"
"3","9407","0","0","0"
"3","9408","103","0","103"
"3","9409","0","0","0"
"3","9410","0","0","0"
"3","9411","65","0","65"
"3","9412","0","34","34"
"3","2003","0","16","3"
"3","2004","0","139","83"
"3","2005","0","0","0"
"3","2006","0","0","0"
"3","2007","0","205","205"
"3","2008","0","0","0"
"4","1526","56","0","33"
"4","1527","58","0","58"
"4","1528","0","0","0"
"4","1529","112","0","112"
"4","1530","0","0","0"
"4","1531","17","194","44"
"4","7675","0","50","70"
"4","7676","0","62","31"
"4","7677","0","83","33"
"4","7678","0","104","104"
"4","7679","0","4","4"
"4","7680","0","101","101"
"5","8108","136","0","136"
"5","8109","49","0","49"
"5","8110","81","0","72"
"5","8111","0","0","0"
"5","8112","110","110","352"
"5","8113","0","0","0"
"5","8221","0","0","0"
"5","8222","0","47","70"
"5","8223","0","75","15"
"5","8224","0","368","368"
"5","8225","0","0","0"
"5","8226","0","0","0"
"6","4311","0","0","0"
"6","4312","134","0","134"
"6","4313","84","57","141"
"6","4314","86","0","86"
"6","4315","67","0","20"
"6","4316","124","0","161"
"6","11452","0","96","96"
"6","11453","0","96","134"
"6","11454","0","128","230"
"6","11455","0","0","0"
"6","11456","0","0","0"
"6","11457","0","0","0"
"7","12064","0","0","0"
"7","12065","0","0","0"
"7","12066","0","0","0"
"7","12067","0","0","0"
"7","12068","82","0","139"
"7","12069","29","44","73"
"7","761","0","64","83"
"7","762","0","47","47"
"7","763","0","0","0"
"7","764","0","18","23"
"7","765","0","45","45"
"7","766","0","24","24"
"8","12356","0","0","0"
"8","12357","0","0","0"
"8","12358","69","0","69"
"8","12359","51","0","51"
"8","12360","91","0","45"
"8","12361","0","7","7"
"8","656","0","0","0"
"8","657","0","0","0"
"8","658","0","0","0"
"8","659","0","23","23"
"8","660","0","18","18"
"8","661","0","1","1"
"9","1141","0","0","0"
"9","1142","23","0","23"
"9","1143","27","43","27"
"9","1144","44","0","61"
"9","1145","0","0","0"
"9","1146","107","0","107"
"9","8264","0","43","43"
"9","8265","0","0","0"
"9","8266","0","125","125"
"9","8267","0","56","0"
"9","8268","0","48","19"
"9","8269","0","101","101"
"10","1141","0","0","0"
"10","1142","23","0","20"
"10","1143","24","16","27"
"10","1144","35","9","44"
"10","1145","0","0","0"
"10","1146","42","65","107"
"10","10991","0","11","11"
"10","10992","0","21","21"
"10","10993","0","87","87"
"10","10994","0","170","244"
"10","10995","0","111","111"
"10","10996","0","0","0"
"11","8839","49","21","126"
"11","8840","13","56","69"
"11","8841","9","18","18"
"11","8842","0","0","0"
"11","8843","88","10","98"
"11","8844","0","0","0"
"11","9190","0","66","66"
"11","9191","0","0","0"
"11","9192","0","70","70"
"11","9193","0","170","323"
"11","9194","0","0","0"
"11","9195","0","122","122"
"12","4937","0","0","0"
"12","4938","3","0","5"
"12","4939","0","0","0"
"12","4940","0","0","0"
"12","4941","26","268","134"
"12","4942","52","78","26"
"12","6962","0","104","10"
"12","6963","0","0","0"
"12","6964","0","105","105"
"12","6965","0","0","0"
"12","6966","0","0","0"
"12","6967","0","0","0"
"13","7256","0","0","0"
"13","7257","0","0","0"
"13","7258","87","0","147"
"13","7259","60","60","120"
"13","7260","87","0","8"
"13","7261","0","0","0"
"13","10947","0","112","112"
"13","10948","0","0","0"
"13","10949","0","27","27"
"13","10950","0","58","0"
"13","10951","0","82","90"
"13","10952","0","0","0"
"14","13404","255","0","255"
"14","13405","2","19","6"
"14","13406","115","0","34"
"14","13407","10","15","25"
"14","13408","0","0","0"
"14","13409","106","0","106"
"14","10197","0","10","10"
"14","10198","0","0","0"
"14","10199","0","98","29"
"14","10200","0","0","0"
"14","10201","0","43","43"
"14","10202","0","118","118"
"15","7199","113","0","113"
"15","7200","44","0","30"
"15","7201","57","25","147"
"15","7202","0","0","0"
"15","7203","0","0","0"
"15","7204","89","0","89"
"15","3345","0","21","21"
"15","3346","0","0","0"
"15","3347","0","98","98"
"15","3348","0","0","0"
"15","3349","0","52","52"
"15","3350","0","22","22"
"16","1834","42","0","42"
"16","1835","49","0","49"
"16","1836","0","0","0"
"16","1837","59","15","111"
"16","1838","54","0","54"
"16","1839","22","0","22"
"16","7425","0","61","67"
"16","7426","0","187","187"
"16","7427","0","0","0"
"16","7428","0","0","0"
"16","7429","0","63","63"
"16","7430","0","141","225"
"17","225","76","0","76"
"17","226","0","0","0"
"17","227","0","0","0"
"17","228","8","14","22"
"17","229","3","8","13"
"17","230","0","0","0"
"17","13457","0","34","64"
"17","13458","0","89","89"
"17","13459","0","101","101"
"17","13460","0","0","0"
"17","13461","0","0","0"
"17","13462","0","16","16"
"18","10663","97","0","116"
"18","10664","4","0","6"
"18","10665","0","0","0"
