"pokemon","subareaID","method","condition_type","condition_value","chance%","min_level","max_level"
"bulbasaur","2","gift","","","100","10","10"
"bulbasaur","12","gift","","","100","5","5"
"charmander","12","gift","","","100","5","5"
"charmander","32","gift","","","100","10","10"
"squirtle","54","gift","","","100","10","10"
"squirtle","12","gift","","","100","5","5"
"caterpie","380","walk","item","tm14","4","13","13"
"caterpie","477","walk","item","max elixir","4","6","6"
"caterpie","477","walk","item","x defense","4","6","6"
"caterpie","478","walk","item","silk scarf","4","10","10"
"caterpie","478","walk","item","tm47","4","10","10"
"caterpie","183","walk","time","day ","30","3","3"
"caterpie","183","walk","time","morning ","30","3","3"
"caterpie","183","walk","time","morning ","20","4","4"
"caterpie","183","walk","time","day ","5","4","4"
"caterpie","184","walk","time","day ","30","4","4"
"caterpie","184","walk","time","morning ","30","4","4"
"caterpie","184","walk","time","day ","5","5","5"
"caterpie","184","walk","time","morning ","5","5","5"
"caterpie","165","walk","time","day ","30","5","5"
"caterpie","165","walk","time","morning ","30","5","5"
"caterpie","165","walk","time","day ","30","6","6"
"caterpie","165","walk","time","morning ","20","5","5"
"caterpie","165","headbutt","","","50","10","10"
"caterpie","165","headbutt","","","15","10","10"
"caterpie","165","headbutt","","","50","10","10"
"caterpie","165","headbutt","","","15","10","10"
"caterpie","165","headbutt","","","50","10","10"
"caterpie","187","headbutt","","","50","10","10"
"caterpie","187","headbutt","","","15","10","10"
"caterpie","187","headbutt","","","50","10","10"
"caterpie","187","headbutt","","","15","10","10"
"caterpie","187","headbutt","","","50","10","10"
"caterpie","188","headbutt","","","50","10","10"
"caterpie","188","headbutt","","","15","10","10"
"caterpie","188","headbutt","","","50","10","10"
"caterpie","188","headbutt","","","15","10","10"
"caterpie","188","headbutt","","","50","10","10"
"caterpie","179","walk","time","day ","30","10","10"
"caterpie","179","walk","time","morning ","30","10","10"
"caterpie","179","walk","time","morning ","20","12","12"
"caterpie","230","walk","","","20","10","10"
"caterpie","230","walk","","","20","10","10"
"caterpie","230","walk","","","10","10","10"
"caterpie","230","walk","","","10","10","10"
"caterpie","230","walk","","","10","12","12"
"caterpie","230","walk","","","10","12","12"
"caterpie","230","walk","","","5","12","12"
"caterpie","230","walk","","","5","12","12"
"caterpie","230","walk","","","4","10","10"
"caterpie","230","walk","","","4","14","14"
"caterpie","230","walk","","","1","10","10"
"caterpie","230","walk","","","1","14","14"
"caterpie","189","headbutt","","","50","10","10"
"caterpie","189","headbutt","","","15","10","10"
"caterpie","189","headbutt","","","50","10","10"
"caterpie","189","headbutt","","","15","10","10"
"caterpie","189","headbutt","","","50","10","10"
"caterpie","190","headbutt","","","50","10","10"
"caterpie","190","headbutt","","","15","10","10"
"caterpie","190","headbutt","","","50","10","10"
"caterpie","190","headbutt","","","15","10","10"
"caterpie","190","headbutt","","","50","10","10"
"caterpie","191","headbutt","","","50","10","10"
"caterpie","191","headbutt","","","15","10","10"
"caterpie","191","headbutt","","","50","10","10"
"caterpie","191","headbutt","","","15","10","10"
"caterpie","191","headbutt","","","50","10","10"
"caterpie","192","headbutt","","","50","10","10"
"caterpie","192","headbutt","","","15","10","10"
"caterpie","192","headbutt","","","50","10","10"
"caterpie","192","headbutt","","","15","10","10"
"caterpie","192","headbutt","","","50","10","10"
"caterpie","166","headbutt","","","50","10","10"
"caterpie","166","headbutt","","","15","10","10"
"caterpie","166","headbutt","","","50","10","10"
"caterpie","166","headbutt","","","15","10","10"
"caterpie","166","headbutt","","","50","10","10"
"caterpie","34","headbutt","","","50","10","10"
"caterpie","34","headbutt","","","15","10","10"
"caterpie","34","headbutt","","","50","10","10"
"caterpie","34","headbutt","","","15","10","10"
"caterpie","34","headbutt","","","50","10","10"
"caterpie","35","headbutt","","","50","10","10"
"caterpie","35","headbutt","","","15","10","10"
"caterpie","35","headbutt","","","50","10","10"
"caterpie","35","headbutt","","","15","10","10"
"caterpie","35","headbutt","","","50","10","10"
"caterpie","27","walk","","","10","3","3"
"caterpie","27","walk","","","4","4","4"
"caterpie","27","walk","","","1","5","5"
"caterpie","32","walk","","","20","7","7"
"caterpie","33","walk","","","1","8","8"
"caterpie","28","walk","time","morning ","20","3","3"
"caterpie","28","walk","time","day ","20","3","3"
"caterpie","28","walk","time","morning ","10","3","3"
"caterpie","28","walk","radio","off ","10","3","3"
"caterpie","28","walk","time","day ","10","3","3"
"caterpie","28","walk","radio","off ","10","3","3"
"caterpie","28","walk","time","morning ","1","4","4"
"caterpie","28","walk","time","day ","1","4","4"
"caterpie","60","walk","","","5","3","3"
"caterpie","105","walk","","","10","6","6"
"caterpie","240","headbutt","","","50","10","10"
"caterpie","240","headbutt","","","15","10","10"
"caterpie","240","headbutt","","","50","10","10"
"caterpie","240","headbutt","","","15","10","10"
"caterpie","240","headbutt","","","50","10","10"
"metapod","380","walk","item","secret potion","4","12","12"
"metapod","380","walk","item","retro mail","4","12","12"
"metapod","183","walk","time","day ","10","4","4"
"metapod","183","walk","time","morning ","10","4","4"
"metapod","183","walk","time","day ","4","5","5"
"metapod","183","walk","time","day ","1","5","5"
"metapod","184","walk","time","day ","10","5","5"
"metapod","184","walk","time","morning ","10","5","5"
"metapod","184","walk","time","day ","4","6","6"
"metapod","184","walk","time","morning ","4","5","5"
"metapod","184","walk","time","day ","1","6","6"
"metapod","184","walk","time","morning ","1","5","5"
"metapod","165","walk","time","morning ","30","6","6"
"metapod","165","walk","time","day ","20","5","5"
"metapod","165","walk","time","day ","10","6","6"
"metapod","165","headbutt","","","15","10","10"
"metapod","165","headbutt","","","15","10","10"
"metapod","187","headbutt","","","15","10","10"
"metapod","187","headbutt","","","15","10","10"
"metapod","188","headbutt","","","15","10","10"
"metapod","188","headbutt","","","15","10","10"
"metapod","179","walk","time","day ","30","10","10"
"metapod","179","walk","time","morning ","30","10","10"
"metapod","189","headbutt","","","15","10","10"
"metapod","189","headbutt","","","15","10","10"
"metapod","190","headbutt","","","15","10","10"
"metapod","190","headbutt","","","15","10","10"
"metapod","191","headbutt","","","15","10","10"
"metapod","191","headbutt","","","15","10","10"
"metapod","192","headbutt","","","15","10","10"
"metapod","192","headbutt","","","15","10","10"
"metapod","166","headbutt","","","15","10","10"
"metapod","166","headbutt","","","15","10","10"
"metapod","34","headbutt","","","15","10","10"
"metapod","34","headbutt","","","15","10","10"
"metapod","35","headbutt","","","15","10","10"
"metapod","35","headbutt","","","15","10","10"
"metapod","27","walk","time","day ","20","5","5"
"metapod","27","walk","time","morning ","20","5","5"
"metapod","32","walk","","","20","8","8"
"metapod","33","walk","","","4","7","7"
"metapod","28","walk","time","morning ","10","5","5"
"metapod","28","walk","radio","off ","10","5","5"
"metapod","28","walk","time","morning ","10","5","5"
"metapod","28","walk","radio","off ","10","5","5"
"metapod","60","walk","","","5","4","4"
"metapod","105","walk","","","5","9","9"
