"id","name","cost","effect","healing","can_revive","statistic","stat_increase_time","top_capture_rate","min_capture_rate","quick_sell_price","collector_price","move"
"204","deep sea scale","2000","Held by Clamperl: Doubles the holder's Special Defense.  Evolves the holder into Gorebyss when traded.",,"false",,,,,,,""
"271","power weight","3000","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains HP effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.",,"false",,,,,,,""
"75","green shard","1000","No effect.In Diamond and Pearl, trade ten for a hail TM in the house midway along the southern section of sinnoh route 212.In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.In HeartGold and SoulSilver, trade one for an aguav berry, a lum berry, and a rawst berry with the Juggler near the Pokémon Center in violet city.In HeartGold and SoulSilver, trade one for a durin berry, a hondew berry, and a wepear berry with the Juggler near the pal park entrance in fuchsia city.",,"false",,,,,,,""
"176","babiri berry","80","Held in battle:   When the holder would take super-effective steel-type damage, it consumes this item to halve the amount of damage taken.",,"false",,,,,,,""
"267","power belt","3000","Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.",,"false",,,,,,,""
"203","deep sea tooth","2000","Held by Clamperl: Doubles the holder's Special Attack.  Evolves the holder into Huntail when traded.",,"false",,,,,,,""
"121","snow mail","50","Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.Held:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",,"false",,,,,,,""
"553","tri pass","0","Provides access to the first three Sevii Islands.",,"false",,,,,,,""
"475","card key","0","Used by trainer outside of battle:   Opens doors in the goldenrod city Radio Tower.",,"false",,,,,,,""
"534","eon ticket","0","Provides access to southern island and either latias or latios, whichever is not available roaming around Hoenn.",,"false",,,,,,,""
"415","works key","0","Opens the front door of the Valley Windworks.  Reusable.",,"false",,,,,,,""
"111","odd keystone","2100","Place in the tower on sinnoh route 209.  Check the stone to encounter a spiritomb, as long as the trainer's Underground status card counts at least 32 greetings.",,"false",,,,,,,""
"547","lift key","0","Operates the elevator in the Celadon Rocket Hideout.",,"false",,,,,,,""
"429","oaks letter","0","Grants access to Flower Paradise and Shaymin.",,"false",,,,,,,""
"274","choice specs","4000","Held: Increases the holder's Special Attack by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)",,"false",,,,,,,""
"458","red apricorn","200","May be given to Kurt in azalea town to produce a level ball.",,"false",,,,,,,""
"535","scanner","0","May be traded to Captain Stern for a deep sea tooth or a deep sea scale.",,"false",,,,,,,""
"340","tm36","1000","Teaches Sludge Bomb to a compatible Pokémon.",,"false",,,,,,,"self destruct"
"250","flame orb","4000","Held: Burns the holder at the end of each turn.",,"false",,,,,,,""
"408","poke radar","0","Designates several nearby patches of grass as containing Pokémon, some of which may be special radar-only Pokémon.  Successive uses in a certain way create chains of encounters with the same species; longer chains increase the chance that a shiny Pokémon of that species will appear.",,"false",,,,,,,""
