"move_id","name","accuracy","effect","pp","priority","target","type","move_damage_class","hp_healing","hp_drain","power","flinch_chance%","min_hits","max_hits","ailment","ailment_chance%","stat","stat_change_rate","change_amount"
"1","pound","100","Inflicts regular damage with no additional effect.","35","0","selected pokemon","normal","physical","0","0","40","0","1","1",,"0",,"0",
"2","karate chop","100","Has an increased chance for a critical hit.","25","0","selected pokemon","fighting","physical","0","0","50","0","1","1",,"0",,"0",
"3","double slap","85","Hits 2-5 times in one turn.","10","0","selected pokemon","normal","physical","0","0","15","0","2","5",,"0",,"0",
"4","comet punch","85","Hits 2-5 times in one turn.","15","0","selected pokemon","normal","physical","0","0","18","0","2","5",,"0",,"0",
"5","mega punch","85","Inflicts regular damage with no additional effect.","20","0","selected pokemon","normal","physical","0","0","80","0","1","1",,"0",,"0",
"6","pay day","100","Scatters money on the ground worth five times the user's level.","20","0","selected pokemon","normal","physical","0","0","40","0","1","1",,"0",,"0",
"7","fire punch","100","Has a $effect_chance% chance to burn the target.","15","0","selected pokemon","fire","physical","0","0","75","0","1","1","burn","10",,"0",
"8","ice punch","100","Has a $effect_chance% chance to freeze the target.","15","0","selected pokemon","ice","physical","0","0","75","0","1","1","freeze","10",,"0",
"9","thunder punch","100","Has a $effect_chance% chance to paralyze the target.","15","0","selected pokemon","electric","physical","0","0","75","0","1","1","paralysis","10",,"0",
"10","scratch","100","Inflicts regular damage with no additional effect.","35","0","selected pokemon","normal","physical","0","0","40","0","1","1",,"0",,"0",
"11","vice grip","100","Inflicts regular damage with no additional effect.","30","0","selected pokemon","normal","physical","0","0","55","0","1","1",,"0",,"0",
"12","guillotine","30","Causes a one-hit KO.","5","0","selected pokemon","normal","physical","0","0","0","0","0","0",,"0",,"0",
"13","razor wind","100","Requires a turn to charge before attacking.","10","0","all opponents","normal","special","0","0","80","0","1","1",,"0",,"0",
"14","swords dance","0","Raises the user's Attack by two stages.","20","0","user","normal","status","0","0","0","0","0","0",,"0","attack","100","2"
"15","cut","95","Inflicts regular damage with no additional effect.","30","0","selected pokemon","normal","physical","0","0","50","0","1","1",,"0",,"0",
"16","gust","100","Inflicts regular damage and can hit Pokémon in the air.","35","0","selected pokemon","flying","special","0","0","40","0","1","1",,"0",,"0",
"17","wing attack","100","Inflicts regular damage with no additional effect.","35","0","selected pokemon","flying","physical","0","0","60","0","1","1",,"0",,"0",
"18","whirlwind","0","Immediately ends wild battles.  Forces trainers to switch Pokémon.","20","-6","selected pokemon","normal","status","0","0","0","0","0","0",,"0",,"0",
"19","fly","95","User flies high into the air, dodging all attacks, and hits next turn.","15","0","selected pokemon","flying","physical","0","0","90","0","1","1",,"0",,"0",
"20","bind","85","Prevents the target from fleeing and inflicts damage for 2-5 turns.","20","0","selected pokemon","normal","physical","0","0","15","0","1","1","trap","100",,"0",
"21","slam","75","Inflicts regular damage with no additional effect.","20","0","selected pokemon","normal","physical","0","0","80","0","1","1",,"0",,"0",
"22","vine whip","100","Inflicts regular damage with no additional effect.","25","0","selected pokemon","grass","physical","0","0","45","0","1","1",,"0",,"0",
"23","stomp","100","Has a $effect_chance% chance to make the target flinch.","20","0","selected pokemon","normal","physical","0","0","65","30","1","1",,"0",,"0",
"24","double kick","100","Hits twice in one turn.","30","0","selected pokemon","fighting","physical","0","0","30","0","2","2",,"0",,"0",
"25","mega kick","75","Inflicts regular damage with no additional effect.","5","0","selected pokemon","normal","physical","0","0","120","0","1","1",,"0",,"0",
"26","jump kick","95","If the user misses, it takes half the damage it would have inflicted in recoil.","10","0","selected pokemon","fighting","physical","0","0","100","0","1","1",,"0",,"0",
"27","rolling kick","85","Has a $effect_chance% chance to make the target flinch.","15","0","selected pokemon","fighting","physical","0","0","60","30","1","1",,"0",,"0",
"28","sand attack","100","Lowers the target's accuracy by one stage.","15","0","selected pokemon","ground","status","0","0","0","0","0","0",,"0","accuracy","100","-1"
"29","headbutt","100","Has a $effect_chance% chance to make the target flinch.","15","0","selected pokemon","normal","physical","0","0","70","30","1","1",,"0",,"0",
"30","horn attack","100","Inflicts regular damage with no additional effect.","25","0","selected pokemon","normal","physical","0","0","65","0","1","1",,"0",,"0",
"31","fury attack","85","Hits 2-5 times in one turn.","20","0","selected pokemon","normal","physical","0","0","15","0","2","5",,"0",,"0",
"32","horn drill","30","Causes a one-hit KO.","5","0","selected pokemon","normal","physical","0","0","0","0","0","0",,"0",,"0",
"33","tackle","100","Inflicts regular damage with no additional effect.","35","0","selected pokemon","normal","physical","0","0","40","0","1","1",,"0",,"0",
"34","body slam","100","Has a $effect_chance% chance to paralyze the target.","15","0","selected pokemon","normal","physical","0","0","85","0","1","1","paralysis","30",,"0",
"35","wrap","90","Prevents the target from fleeing and inflicts damage for 2-5 turns.","20","0","selected pokemon","normal","physical","0","0","15","0","1","1","trap","100",,"0",
"36","take down","85","User receives 1/4 the damage it inflicts in recoil.","20","0","selected pokemon","normal","physical","0","-25","90","0","1","1",,"0",,"0",
"37","thrash","100","Hits every turn for 2-3 turns, then confuses the user.","10","0","random opponent","normal","physical","0","0","120","0","1","1",,"0",,"0",
"38","double edge","100","User receives 1/3 the damage inflicted in recoil.","15","0","selected pokemon","normal","physical","0","-33","120","0","1","1",,"0",,"0",
"39","tail whip","100","Lowers the target's Defense by one stage.","30","0","all opponents","normal","status","0","0","0","0","0","0",,"0","defense","100","-1"
"40","poison sting","100","Has a $effect_chance% chance to poison the target.","35","0","selected pokemon","poison","physical","0","0","15","0","1","1","poison","30",,"0",
"41","twineedle","100","Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.","20","0","selected pokemon","bug","physical","0","0","25","0","2","2","poison","20",,"0",
"42","pin missile","95","Hits 2-5 times in one turn.","20","0","selected pokemon","bug","physical","0","0","25","0","2","5",,"0",,"0",
"43","leer","100","Lowers the target's Defense by one stage.","30","0","all opponents","normal","status","0","0","0","0","0","0",,"0","defense","100","-1"
