"id","pokemon_speciesID","nickname","ownerID","level","experience","gender","nature","item","datetime","location_subareaID","obtention_method","pokeballID","move1","move2","move3","move4"
"0","36","Abigail","0","3","96","male","calm",,"Sat Jun 30 20:23:23 CEST 2018",,"grass spots","great ball","204","186","236","94"
"1","418","Shorty","0","15","4681","female","quirky","data card 25","Fri Jun 13 23:44:31 CEST 1997","379","walk","great ball","152","250","61","240"
"2","319","Greta","0","8","928","female","naive","rainbow pass","Sat Jun 30 11:17:18 CEST 2012","496","super rod","poke ball","55","128","61","57"
"3","343","Dee","0","6","497","female","calm","soothe bell","Wed Jul 25 10:53:08 CEST 2018","481","walk","poke ball","156","134","191","115"
"4","189","Presley","0","18","5008","female","serious","galactic key","Sat Sep 22 07:43:16 CEST 2018",,"gift","nest ball","79","177","235","147"
"5","215","Cassis","0","19","5679","male","modest",,"Thu Jun 28 18:33:11 CEST 2007","439","walk","safari ball","228","8","54","44"
"6","289","Lou","0","11","2609","male","bold",,"Mon Apr 05 17:21:58 CEST 2010",,"grass spots","dive ball","187","195","38","176"
"7","227","Jordan","0","1","13","male","modest",,"Sat Apr 06 00:51:55 CEST 2002","428","walk","dusk ball","177","231","65","17"
"8","387","Blue","0","9","572","male","adamant","kebia berry","Thu Apr 29 21:52:24 CEST 2010","466","gift","dusk ball","71","73","147","79"
"9","21","Brodie","0","14","3905","female","docile","safari ball","Fri Dec 02 19:24:10 CET 2016","506","walk","friend ball","10","154","36","116"
"10","18","Sienna","1","13","1851","male","calm",,"Wed Jul 23 23:42:35 CEST 1997",,"gift","poke ball","11","214","193","14"
"11","247","Beaux","1","10","1930","male","jolly","custap berry","Sat Mar 10 18:00:13 CET 2018","177","walk","moon ball","246","201","222","90"
"12","410","Bosco","1","10","2628","female","naughty","tm83","Sat Apr 28 13:23:56 CEST 2007",,"gift","heavy ball","88","157","201","232"
"13","417","Nickie","1","6","402","female","docile","metal coat","Tue Jul 12 05:23:09 CEST 2016","379","walk","sport ball","87","192","209","86"
"14","335","Natasha","1","17","9704","female","sassy","data card 11","Sat Apr 05 19:15:33 CEST 2003","483","walk","safari ball","161","117","213","50"
"15","283","Gabriella","1","4","152","male","quiet",,"Sun Apr 16 22:44:17 CEST 2017","466","walk","dive ball","141","110","210","190"
"16","386","Mercedes","1","3","129","male","hardy","old sea map","Mon Oct 08 02:32:34 CEST 2001","147","only one","fast ball","243","115","100","94"
"17","457","Ermenegildo","1","15","7286","female","adamant","yellow shard","Fri Sep 30 04:17:39 CEST 2011","371","super rod","safari ball","110","190","152","127"
"18","475","Norton","1","19","10433","female","naive",,"Wed Jul 16 18:43:54 CEST 1997",,"gift","master ball","179","243","68","95"
"19","311","Winter","1","3","76","male","calm","hm07","Thu Jun 21 11:59:44 CEST 2012","182","walk","timer ball","84","192","85","9"
"20","287","Gracie","1","7","670","female","timid","lure ball","Thu Apr 01 23:27:45 CEST 1999","380","walk","cherish ball","99","163","4","193"
"21","324","Buttons","1","14","3936","female","careful",,"Wed May 17 13:23:03 CEST 2000","428","walk","luxury ball","172","126","52","7"
"22","118","Spencer","1","16","5729","female","quirky",,"Sat Jan 14 02:49:47 CET 2006","521","good rod","heal ball","240","190","145","61"
"23","294","Pandora","1","4","141","male","modest","hm08","Tue Oct 08 11:20:03 CEST 2013","385","walk","great ball","175","33","146","29"
"24","336","Flakey","1","17","3892","male","mild",,"Tue Nov 29 22:05:57 CET 2022","483","walk","luxury ball","51","123","151","77"
"25","374","Fred","1","2","72","male","relaxed","tm26","Wed Mar 04 20:00:50 CET 2009","508","walk","friend ball","231","149","232","97"
"26","322","JR","1","9","1129","male","naughty",,"Tue Nov 10 19:55:57 CET 2015","428","walk","timer ball","90","52","198","155"
"27","357","Benson","1","2","48","male","careful",,"Thu Mar 24 14:13:17 CET 2022","395","walk","ultra ball","78","147","16","119"
"28","131","Flemming","1","12","2962","male","jolly",,"Tue Nov 27 17:29:38 CET 2007","422","surf","timer ball","61","114","110","190"
"29","216","Doogie","1","17","6611","male","timid","damp rock","Sat Nov 12 08:26:34 CET 2016","470","walk","timer ball","74","111","129","244"
"30","191","Yaka","1","8","458","female","lax","light ball","Mon Jul 24 05:38:44 CEST 2006","478","walk","park ball","78","80","202","75"
"31","105","Billie","1","12","2322","female","quirky",,"Sat Feb 10 23:35:27 CET 2007","13","walk","cherish ball","89","198","191","155"
"32","17","Flopsy","1","5","228","male","bashful",,"Mon Feb 13 02:46:51 CET 2023","190","walk","safari ball","226","212","143","161"
"33","447","Pugsley","1","13","1761","female","relaxed","razor fang","Sun Sep 03 03:52:48 CEST 2017","455","gift egg","friend ball","249","167","136","223"
"34","171","Iris","1","8","1170","male","careful",,"Fri Feb 03 21:06:19 CET 2017","513","super rod","great ball","190","128","85","192"
"35","368","Wenche","1","16","8310","male","calm","lax incense","Wed Feb 18 21:13:52 CET 2009",,"super rod spots","repeat ball","56","190","145","57"
"36","217","Dutchess","1","8","969","female","bold",,"Tue Nov 12 21:27:01 CET 1996","470","walk","sport ball","33","4","13","47"
"37","387","Walter","1","6","294","female","serious","rock incense","Wed Sep 04 07:19:01 CEST 2013","466","gift","nest ball","75","71","178","22"
"38","206","Missy","1","17","5896","female","sassy","salac berry","Sun Apr 27 02:28:41 CEST 2014","483","walk","cherish ball","154","130","217","212"
"39","317","Cody","1","1","6","male","impish",,"Wed Nov 21 01:38:50 CET 2018",,"gift","sport ball","188","92","51","77"
"40","370","Diesel","1","14","3224","male","naughty",,"Fri Feb 19 04:47:03 CET 2021","376","super rod","timer ball","240","145","190","57"
"41","18","Elliot","1","16","3696","male","hardy",,"Tue Dec 28 00:50:25 CET 2021",,"gift","friend ball","4","129","98","230"
"42","52","Felix","2","16","5525","female","bashful","member card","Wed Feb 18 04:26:11 CET 2009","188","walk","dive ball","144","116","131","199"
"43","398","Dee Dee","2","14","2509","female","sassy",,"Wed Dec 11 05:09:17 CET 2013",,"gift","poke ball","217","32","130","121"
