storeID,trainerID,itemID,amount,cost,discount,date_time
32,237,327,25,1885,19,2022-12-29
14,212,32,9,4214,10,2022-10-05
24,125,348,49,4957,15,2022-06-26
7,523,277,30,3866,80,2022-08-18
31,372,3,6,2737,28,2022-06-11
34,490,103,4,1381,28,2023-02-11
26,456,132,21,439,90,2022-05-09
30,512,10,29,2024,28,2023-02-13
14,199,80,9,3443,95,2023-01-31
24,340,285,26,635,47,2022-05-31
17,117,547,28,2274,52,2022-10-03
8,296,326,3,328,29,2022-06-18
9,475,457,4,2018,26,2022-10-15
36,527,129,12,2169,75,2022-10-03
25,113,43,2,303,26,2022-11-01
2,363,118,50,1375,2,2022-11-16
39,340,150,4,3272,84,2023-01-30
2,2,400,21,2736,70,2023-01-14
24,30,471,13,2222,19,2022-08-27
26,218,387,42,4535,91,2023-02-28
4,425,142,31,711,84,2022-06-09
40,431,117,40,3785,37,2022-05-17
31,297,47,9,1167,82,2022-09-06
9,184,217,21,909,30,2023-03-15
13,128,152,15,413,97,2022-05-11
4,351,108,19,4850,76,2022-07-26
19,453,441,19,4835,81,2022-11-08
27,404,39,23,1847,59,2022-06-22
27,11,277,27,3349,27,2023-04-04
36,251,371,44,3172,78,2022-08-06
5,506,111,32,3219,46,2022-09-15
10,135,286,5,1163,47,2022-06-04
31,310,136,39,2243,87,2022-09-05
9,473,144,45,2325,35,2022-07-15
9,72,19,32,4300,71,2022-09-27
33,418,292,4,4669,19,2022-11-17
24,342,356,6,4807,91,2022-12-10
24,407,7,17,2420,8,2023-01-28
2,394,329,35,767,12,2023-03-07
23,188,422,21,467,48,2023-03-31
25,262,237,32,197,18,2023-04-01
29,531,261,31,1996,39,2022-11-07
18,275,299,33,4567,57,2022-10-17
33,401,215,9,4683,61,2023-02-23
39,501,9,5,2527,62,2023-01-25
13,321,455,12,32,16,2023-01-13
32,421,97,8,3882,53,2022-05-05
10,47,114,14,1174,93,2022-08-26
1,210,94,11,4015,8,2022-09-15
40,325,553,45,3664,5,2022-12-18
30,381,189,36,306,50,2022-05-30
6,384,326,21,3417,60,2023-03-28
20,228,69,12,4808,73,2022-05-23
39,529,31,26,1655,81,2023-03-07
19,521,46,13,2217,56,2023-03-17
4,372,76,42,3741,14,2023-04-18
18,81,555,4,3376,17,2022-08-13
38,247,349,2,4340,74,2022-09-20
13,78,255,27,509,41,2022-11-23
39,433,53,29,2047,95,2023-01-04
4,439,255,43,1120,82,2022-09-24
20,227,19,14,4288,78,2023-04-04
10,174,429,13,1716,34,2023-01-07
19,75,421,30,2113,42,2022-11-21
23,412,480,17,4794,97,2022-06-13
2,9,90,25,1394,84,2023-03-01
17,3,316,19,4326,22,2023-03-23
14,122,302,30,211,4,2022-10-21
26,493,498,48,748,49,2022-12-03
0,227,52,14,3178,53,2022-08-30
17,398,274,36,338,80,2022-08-29
25,201,250,5,369,22,2023-02-10
4,451,230,11,4270,31,2023-03-09
14,380,357,13,3265,48,2023-02-05
4,69,555,17,2078,82,2022-10-19
33,6,494,49,3654,93,2022-10-07
33,452,134,25,3796,67,2022-11-05
33,297,334,31,1382,3,2023-02-01
6,137,112,18,1394,42,2023-01-14
23,179,441,24,4554,35,2022-08-12
18,287,261,43,341,22,2022-10-02
