"trainerID","itemID","obtention_method","date_time"
"0","89","REWARD","Wed Jul 25 19:06:19 CEST 2001"
"0","272","REWARD","Tue Oct 30 03:47:34 CET 2018"
"0","509","REWARD","Sun Jul 12 19:47:24 CEST 2009"
"0","208","REWARD","Mon Jan 18 16:06:31 CET 2010"
"0","473","REWARD","Tue May 08 05:11:52 CEST 2018"
"0","219","GIFTED","Wed Jun 03 23:46:33 CEST 2020"
"0","442","REWARD","Thu Jun 05 08:20:33 CEST 1997"
"0","44","FOUND","Mon Aug 06 15:10:47 CEST 2007"
"0","97","REWARD","Sun Feb 22 08:03:29 CET 2009"
"0","13","HARVESTED","Thu Dec 19 08:35:46 CET 1996"
"0","28","HARVESTED","Wed Feb 04 10:30:23 CET 2015"
"0","205","GIFTED","Mon Dec 25 09:39:06 CET 2006"
"0","548","HARVESTED","Fri Mar 10 23:06:38 CET 2023"
"0","492","GIFTED","Thu Sep 17 13:30:43 CEST 2009"
"0","526","REWARD","Sat Aug 02 09:48:23 CEST 2008"
"0","322","REWARD","Tue Jan 04 21:16:13 CET 2005"
"0","497","HARVESTED","Tue Jun 02 01:01:44 CEST 1998"
"0","437","HARVESTED","Sat Aug 16 17:11:27 CEST 2014"
"1","490","HARVESTED","Mon Apr 28 00:38:36 CEST 2014"
"2","381","GIFTED","Wed May 11 21:03:19 CEST 2011"
"2","292","HARVESTED","Wed Dec 28 14:52:40 CET 2011"
"2","229","GIFTED","Mon Jul 31 00:32:52 CEST 2006"
"2","207","REWARD","Sat Jun 08 07:13:19 CEST 2013"
"2","471","FOUND","Fri Oct 10 22:25:38 CEST 1997"
"2","90","FOUND","Tue Sep 08 01:39:53 CEST 2015"
"3","351","GIFTED","Wed Aug 08 15:13:38 CEST 2007"
"3","465","GIFTED","Thu Jul 16 02:42:51 CEST 2009"
"3","560","REWARD","Mon Nov 14 05:24:12 CET 2022"
"4","465","FOUND","Sun Oct 04 12:57:59 CEST 2009"
"4","367","HARVESTED","Mon Apr 08 17:17:47 CEST 1996"
"4","26","GIFTED","Fri Jun 26 03:03:53 CEST 2009"
"4","527","GIFTED","Sat Oct 11 02:15:50 CEST 1997"
"4","419","HARVESTED","Thu Apr 10 02:28:19 CEST 1997"
"4","240","HARVESTED","Sun Oct 08 20:50:25 CEST 2000"
"4","269","FOUND","Thu Aug 11 07:38:43 CEST 2022"
"4","175","REWARD","Fri Oct 23 11:02:24 CEST 2015"
"4","562","HARVESTED","Sat Mar 31 14:57:13 CEST 2012"
"4","70","GIFTED","Sun May 11 03:30:32 CEST 1997"
"4","202","REWARD","Tue Apr 26 05:07:38 CEST 2016"
"4","507","REWARD","Wed Mar 02 00:37:16 CET 2016"
"4","225","REWARD","Fri Nov 26 04:23:06 CET 1999"
"4","12","FOUND","Fri Nov 15 14:59:09 CET 2002"
"4","447","REWARD","Sun Jul 05 09:35:03 CEST 2020"
"4","532","FOUND","Sun Dec 09 11:22:40 CET 2007"
"4","385","HARVESTED","Tue Dec 18 19:57:25 CET 2007"
"4","523","REWARD","Tue Apr 22 13:14:11 CEST 2003"
"4","111","FOUND","Tue Jan 29 07:54:35 CET 2008"
"4","214","HARVESTED","Fri Jun 08 17:13:09 CEST 2007"
"5","450","REWARD","Wed Nov 04 19:38:50 CET 2020"
"5","114","FOUND","Thu Sep 11 23:43:18 CEST 2008"
"5","68","GIFTED","Fri Apr 14 01:09:17 CEST 2017"
"5","141","HARVESTED","Mon Sep 14 17:39:08 CEST 2020"
"5","199","FOUND","Sun Jul 21 05:09:19 CEST 2013"
"5","309","HARVESTED","Sun Jul 11 13:44:46 CEST 2004"
"5","468","GIFTED","Tue May 14 18:41:09 CEST 2019"
"5","547","GIFTED","Sun Apr 20 15:24:09 CEST 2003"
"5","463","FOUND","Mon Mar 03 03:06:13 CET 2003"
"5","314","REWARD","Sun Nov 15 04:37:53 CET 2009"
"5","335","FOUND","Thu Nov 22 01:40:45 CET 2001"
"5","280","REWARD","Tue Mar 01 09:04:55 CET 2011"
"5","554","GIFTED","Thu Jan 22 20:07:15 CET 2004"
"5","232","REWARD","Sun Aug 08 10:17:15 CEST 2010"
"5","45","GIFTED","Tue Jun 02 05:59:48 CEST 2009"
"5","219","FOUND","Sun May 21 02:33:44 CEST 2006"
"5","416","REWARD","Thu Jan 27 14:14:45 CET 2000"
"5","494","REWARD","Sat Mar 14 12:21:28 CET 2009"
"5","353","GIFTED","Sun Apr 16 18:36:45 CEST 2023"
"5","279","FOUND","Thu Mar 19 19:16:09 CET 2015"
"5","301","HARVESTED","Thu Feb 05 14:27:12 CET 1998"
"5","148","FOUND","Fri Oct 31 16:09:11 CET 2008"
"5","471","GIFTED","Sat Jan 12 19:40:21 CET 2013"
"5","406","FOUND","Sun Oct 04 14:07:38 CEST 2009"
"6","78","REWARD","Sat Nov 24 20:12:44 CET 2001"
"6","346","REWARD","Thu May 04 06:07:47 CEST 2006"
"6","496","HARVESTED","Wed Jun 18 23:03:32 CEST 2003"
"6","362","FOUND","Sun Nov 10 20:27:08 CET 1996"
"6","553","FOUND","Wed Jan 23 19:55:28 CET 2008"
"6","36","HARVESTED","Sun Oct 22 19:07:24 CEST 2006"
"6","415","GIFTED","Mon Sep 17 01:26:59 CEST 2018"
"6","273","GIFTED","Sun Dec 22 12:27:17 CET 2019"
"6","361","HARVESTED","Sun Nov 29 01:46:50 CET 1998"
"6","170","HARVESTED","Thu Apr 04 14:40:30 CEST 1996"
"7","279","REWARD","Wed Dec 04 01:45:06 CET 2019"
"7","414","FOUND","Thu Sep 22 20:52:36 CEST 2005"
"7","491","GIFTED","Fri Mar 15 07:57:36 CET 2013"
"7","100","GIFTED","Thu Aug 27 23:13:16 CEST 2015"
"7","553","HARVESTED","Sat Feb 23 20:34:45 CET 2002"
"7","30","REWARD","Sun Jun 06 06:32:06 CEST 2021"
"7","75","GIFTED","Fri Feb 20 13:23:35 CET 2004"
"7","206","GIFTED","Mon Sep 26 22:36:31 CEST 2022"
"7","208","FOUND","Mon Aug 10 16:40:17 CEST 1998"
"7","232","GIFTED","Thu Apr 03 02:19:56 CEST 2008"
"7","437","GIFTED","Wed Jun 25 04:57:04 CEST 2003"
"7","416","HARVESTED","Tue Sep 26 07:32:49 CEST 2017"
"7","237","REWARD","Thu Dec 17 19:06:20 CET 1998"
"7","116","REWARD","Sat Nov 23 07:45:48 CET 2002"
"7","135","FOUND","Mon Dec 24 12:11:19 CET 2012"
"7","536","FOUND","Tue Mar 08 17:40:20 CET 2005"
"7","52","REWARD","Fri Jun 28 00:49:19 CEST 1996"
"7","411","GIFTED","Wed Jun 13 14:24:42 CEST 2012"
"7","79","GIFTED","Thu Sep 01 22:36:32 CEST 2011"
"7","519","GIFTED","Mon Nov 18 16:51:00 CET 2002"
"7","419","GIFTED","Thu Oct 23 11:31:28 CEST 2008"
"7","482","REWARD","Tue Jan 31 04:49:31 CET 2023"
"7","64","REWARD","Sun Oct 14 07:57:09 CEST 2012"
"8","56","HARVESTED","Sun Jun 20 23:55:17 CEST 1999"
"8","409","REWARD","Wed Oct 27 22:19:12 CEST 2021"
"8","517","GIFTED","Tue Jun 13 19:53:15 CEST 2006"
"8","108","GIFTED","Mon Feb 19 03:04:20 CET 2007"
"8","414","HARVESTED","Sun Mar 06 14:16:21 CET 2005"
"8","14","REWARD","Fri Aug 26 10:41:27 CEST 2005"
"8","364","HARVESTED","Mon Jun 30 07:03:43 CEST 1997"
"8","347","FOUND","Wed Oct 22 18:48:18 CEST 2008"
"8","323","HARVESTED","Thu Jun 09 17:58:25 CEST 2011"
"8","83","HARVESTED","Sat Nov 20 01:44:03 CET 2004"
"8","60","FOUND","Wed Oct 08 06:18:42 CEST 1997"
"8","287","GIFTED","Sat Jan 17 17:04:12 CET 2009"
"8","507","HARVESTED","Tue May 04 09:19:26 CEST 2021"
"8","29","FOUND","Thu Aug 27 20:16:02 CEST 2015"
"8","500","REWARD","Thu Sep 24 22:00:31 CEST 2020"
"8","466","HARVESTED","Tue Oct 31 01:08:06 CET 2006"
"8","11","REWARD","Wed May 23 00:13:53 CEST 2001"
"8","48","GIFTED","Wed Sep 24 18:02:21 CEST 2014"
"8","23","FOUND","Sat Mar 09 19:23:58 CET 2019"
"8","478","GIFTED","Thu Apr 23 08:57:16 CEST 2015"
"8","9","HARVESTED","Tue Oct 04 04:19:18 CEST 2011"
"8","387","REWARD","Sat Nov 30 09:14:44 CET 2002"
"8","272","HARVESTED","Sun Apr 14 10:23:47 CEST 2002"
"8","57","FOUND","Tue Aug 07 13:21:03 CEST 2012"
"8","21","GIFTED","Wed Apr 26 08:45:45 CEST 2017"
"8","126","FOUND","Wed Jan 28 08:29:10 CET 1998"
"8","77","HARVESTED","Thu Dec 20 04:39:16 CET 2018"
"9","373","REWARD","Mon Jul 19 12:12:48 CEST 2021"
"9","309","GIFTED","Tue Dec 28 14:23:03 CET 2021"
"9","373","GIFTED","Sun Feb 11 22:50:19 CET 2007"
"9","356","GIFTED","Sat Mar 28 21:30:38 CET 1998"
"9","61","REWARD","Tue Jul 20 08:47:36 CEST 2010"
"9","139","HARVESTED","Sat Jan 03 20:29:47 CET 2004"
"9","234","HARVESTED","Thu Nov 06 15:29:26 CET 2003"
"9","533","FOUND","Wed Jun 25 06:47:37 CEST 1997"
"9","506","FOUND","Fri Jul 02 02:53:15 CEST 1999"
"9","179","GIFTED","Mon Jun 19 18:11:05 CEST 2017"
"9","126","GIFTED","Mon May 24 06:49:35 CEST 2004"
"9","146","HARVESTED","Mon Apr 21 03:03:35 CEST 2003"
"9","219","REWARD","Sat Oct 16 09:17:11 CEST 2021"
"9","336","REWARD","Sat Feb 22 16:44:03 CET 1997"
"9","247","GIFTED","Sun Aug 28 18:59:44 CEST 2011"
"9","76","HARVESTED","Sat Jun 24 12:38:09 CEST 2000"
"9","433","HARVESTED","Mon Dec 12 18:19:28 CET 2005"
"9","151","HARVESTED","Mon Sep 18 08:57:09 CEST 2006"
"9","515","HARVESTED","Sun Feb 10 18:52:45 CET 2002"
"10","517","FOUND","Tue May 27 05:17:17 CEST 1997"
"10","246","REWARD","Mon Jun 28 17:32:32 CEST 2004"
"10","103","REWARD","Tue May 29 11:28:38 CEST 2001"
"10","395","FOUND","Sat Dec 12 00:46:20 CET 2020"
"10","100","FOUND","Mon Jun 13 20:28:01 CEST 2005"
"10","63","FOUND","Fri Aug 07 10:57:14 CEST 2015"
"10","461","HARVESTED","Thu Mar 08 18:40:48 CET 2007"
"10","11","GIFTED","Wed Aug 27 06:38:45 CEST 2003"
"10","399","GIFTED","Thu Apr 13 21:25:44 CEST 2000"
"10","288","REWARD","Tue Jul 16 05:46:04 CEST 2019"
"10","396","FOUND","Thu Aug 22 16:50:50 CEST 2019"
"10","169","REWARD","Wed Nov 28 20:45:27 CET 2001"
"10","30","HARVESTED","Sun Mar 06 09:15:24 CET 2022"
"10","320","FOUND","Sun Dec 25 21:37:40 CET 2022"
"10","156","HARVESTED","Sat Nov 24 10:28:37 CET 2007"
"10","295","HARVESTED","Mon Aug 08 02:09:02 CEST 2011"
"10","380","FOUND","Thu May 30 13:49:00 CEST 2013"
"10","446","REWARD","Mon Aug 25 22:12:06 CEST 2014"
"10","479","FOUND","Thu Mar 27 10:14:50 CET 2003"
"10","404","GIFTED","Tue May 19 18:32:45 CEST 1998"
"10","150","GIFTED","Wed Dec 03 03:37:57 CET 2014"
"10","126","FOUND","Mon Dec 28 12:11:06 CET 2015"
"10","246","GIFTED","Mon Jul 17 12:07:26 CEST 2006"
"10","364","GIFTED","Tue Nov 23 18:22:34 CET 1999"
"10","129","HARVESTED","Fri Apr 06 13:34:42 CEST 2001"
"10","552","FOUND","Tue Apr 10 19:17:17 CEST 2001"
"10","197","GIFTED","Wed Mar 30 17:41:33 CEST 2016"
"10","311","GIFTED","Sat Jan 22 10:59:59 CET 2005"
"11","284","FOUND","Sun Jun 09 01:37:16 CEST 2013"
"11","523","REWARD","Wed Jun 03 01:29:44 CEST 2015"
"11","379","GIFTED","Fri Jan 11 07:29:36 CET 2002"
"11","233","GIFTED","Fri Jun 28 18:27:58 CEST 2013"
"11","423","GIFTED","Mon Feb 04 16:40:01 CET 2013"
"11","216","REWARD","Sat Sep 17 17:56:54 CEST 2022"
"11","382","HARVESTED","Fri Dec 09 09:40:43 CET 2005"
"11","516","GIFTED","Sun Dec 23 01:27:42 CET 2001"
"11","1","FOUND","Wed Feb 11 02:14:59 CET 2015"
"11","130","REWARD","Sat Sep 19 13:04:51 CEST 2015"
"11","469","FOUND","Thu Mar 03 19:08:08 CET 2016"
"11","22","FOUND","Fri Apr 10 03:29:30 CEST 1998"
"11","235","HARVESTED","Mon May 16 23:26:46 CEST 2005"
"11","493","GIFTED","Sat Feb 16 20:37:32 CET 2013"
"11","549","HARVESTED","Wed Jun 03 16:21:46 CEST 2009"
"11","547","FOUND","Tue Jul 28 05:46:02 CEST 2020"
"11","236","REWARD","Wed Mar 18 17:10:34 CET 2020"
"11","193","GIFTED","Wed Nov 26 21:06:23 CET 2003"
"11","272","HARVESTED","Sat Jan 21 12:36:40 CET 2006"
"12","362","REWARD","Tue Apr 14 15:25:23 CEST 2015"
"12","512","GIFTED","Tue Jan 25 15:12:24 CET 2000"
"12","398","REWARD","Wed Jul 30 15:18:31 CEST 2014"
"12","555","HARVESTED","Mon Mar 04 14:29:16 CET 2002"
"12","65","HARVESTED","Sat Mar 25 03:06:07 CET 2006"
"12","281","GIFTED","Sun Dec 21 10:27:25 CET 2014"
"12","279","REWARD","Sun Apr 11 06:15:56 CEST 2021"
"12","446","HARVESTED","Wed Jul 07 02:42:08 CEST 2004"
"12","451","FOUND","Tue Jul 14 11:55:40 CEST 2009"
"12","263","REWARD","Mon Dec 03 08:57:13 CET 2012"
"12","148","REWARD","Tue Feb 21 23:39:43 CET 2012"
"12","182","HARVESTED","Tue Aug 11 13:18:33 CEST 2009"
"12","27","FOUND","Thu Aug 19 18:40:17 CEST 2010"
"12","242","GIFTED","Sun Mar 18 02:44:22 CET 2001"
"12","47","FOUND","Tue Jul 21 19:24:39 CEST 2015"
"12","508","REWARD","Mon Jul 03 09:29:41 CEST 2000"
"12","467","GIFTED","Fri Dec 07 09:41:33 CET 2012"
"12","162","FOUND","Fri Apr 19 13:23:36 CEST 2002"
"12","126","GIFTED","Fri Apr 12 07:50:47 CEST 2019"
"12","198","REWARD","Sat Jun 30 07:09:49 CEST 2012"
"12","339","HARVESTED","Fri Nov 11 12:19:29 CET 2022"
"12","144","GIFTED","Thu Nov 23 06:13:24 CET 2000"
"12","129","FOUND","Fri Jun 24 09:42:05 CEST 2016"
"12","367","FOUND","Sat May 24 07:27:24 CEST 2014"
"12","299","GIFTED","Tue Dec 26 18:34:39 CET 2017"
"12","86","HARVESTED","Thu May 15 13:08:21 CEST 1997"
"12","129","FOUND","Thu Sep 05 16:41:38 CEST 1996"
"12","317","HARVESTED","Wed Feb 10 15:09:56 CET 1999"
"12","547","REWARD","Tue Nov 07 08:44:51 CET 2000"
"12","166","HARVESTED","Sat Mar 23 02:04:27 CET 1996"
"13","92","HARVESTED","Sat Jan 07 16:24:20 CET 2006"
"13","135","FOUND","Fri Jan 21 14:28:39 CET 2011"
"13","555","REWARD","Fri May 25 03:05:19 CEST 2001"
"13","176","GIFTED","Sat Oct 10 10:04:54 CEST 2015"
"13","278","REWARD","Tue Jul 24 19:06:33 CEST 2007"
"13","381","HARVESTED","Wed Sep 02 09:44:32 CEST 2009"
"13","268","REWARD","Sat Dec 09 22:11:22 CET 2006"
"13","67","GIFTED","Tue Jun 06 06:03:19 CEST 2000"
"13","185","FOUND","Wed Jun 16 19:07:31 CEST 1999"
"13","254","REWARD","Wed Jun 16 15:00:55 CEST 1999"
"13","11","FOUND","Fri Nov 30 03:17:36 CET 2018"
"13","138","REWARD","Tue Dec 04 13:45:35 CET 2018"
"13","108","REWARD","Mon Aug 02 08:25:21 CEST 2004"
"13","249","GIFTED","Sun Sep 15 11:48:54 CEST 2013"
"13","530","REWARD","Wed Jan 10 19:44:19 CET 2018"
"13","165","GIFTED","Wed Oct 11 23:41:00 CEST 2000"
"13","544","GIFTED","Fri Mar 31 20:34:21 CEST 2006"
"13","528","FOUND","Sat Jun 16 03:51:34 CEST 2007"
"14","77","HARVESTED","Mon Jul 29 11:26:02 CEST 2013"
"14","381","HARVESTED","Thu Jul 15 13:02:08 CEST 2004"
"14","170","HARVESTED","Wed Nov 26 12:51:40 CET 2014"
"14","556","GIFTED","Tue Nov 27 02:34:56 CET 2012"
"14","365","REWARD","Tue Nov 16 09:18:29 CET 2010"
"14","212","REWARD","Tue Jul 20 14:04:24 CEST 2021"
"14","27","FOUND","Tue May 27 00:26:04 CEST 1997"
"14","480","REWARD","Sun Nov 28 10:02:28 CET 2021"
"14","170","REWARD","Fri May 06 19:19:11 CEST 2016"
"14","138","REWARD","Fri Jun 08 22:56:25 CEST 2012"
"14","267","REWARD","Tue Jun 22 18:00:29 CEST 2004"
"14","321","HARVESTED","Fri Jun 02 02:09:04 CEST 2006"
"14","427","REWARD","Sun Mar 14 15:43:31 CET 2004"
"14","419","FOUND","Thu May 27 20:45:57 CEST 2004"
"14","145","HARVESTED","Mon Aug 06 16:28:31 CEST 2007"
"14","355","GIFTED","Wed Jul 11 16:41:50 CEST 2018"
"14","136","FOUND","Sun Mar 05 18:23:43 CET 2000"
"14","183","FOUND","Sun Jan 08 21:30:43 CET 2023"
"14","382","HARVESTED","Mon Mar 12 02:25:53 CET 2001"
"14","349","REWARD","Thu Sep 09 11:22:09 CEST 2021"
"14","384","FOUND","Sat Feb 22 07:20:05 CET 2014"
"15","527","GIFTED","Sat Mar 25 11:33:14 CET 2006"
"15","19","FOUND","Thu Jul 26 16:39:04 CEST 2007"
"15","398","REWARD","Sat May 04 17:19:21 CEST 1996"
"15","351","FOUND","Mon Oct 07 06:17:28 CEST 2002"
"15","438","HARVESTED","Mon Jun 04 16:24:33 CEST 2001"
"15","524","REWARD","Mon Jun 24 03:31:23 CEST 2002"
"15","300","GIFTED","Wed Dec 12 20:58:52 CET 2018"
"15","49","FOUND","Wed Nov 04 23:50:55 CET 1998"
"15","365","REWARD","Tue Jul 06 14:55:41 CEST 2004"
"15","173","FOUND","Wed Jul 16 03:59:57 CEST 1997"
"15","418","REWARD","Mon Nov 20 23:04:57 CET 2000"
"15","416","FOUND","Fri Jun 15 05:33:41 CEST 2018"
"15","496","FOUND","Wed Nov 27 17:36:48 CET 2019"
"15","194","FOUND","Tue Oct 23 03:54:13 CEST 2018"
"15","281","FOUND","Sun Dec 03 10:16:35 CET 2017"
"15","202","HARVESTED","Sun Jun 30 01:44:06 CEST 2013"
"15","72","REWARD","Wed May 07 15:08:53 CEST 2014"
"15","266","HARVESTED","Thu Feb 27 21:25:27 CET 1997"
"15","139","GIFTED","Sat Jun 27 20:51:33 CEST 2020"
"15","246","REWARD","Mon Apr 13 15:56:49 CEST 1998"
"15","55","REWARD","Sun Apr 30 01:30:50 CEST 2017"
"15","227","REWARD","Fri Aug 04 00:21:10 CEST 2017"
"15","371","HARVESTED","Tue Feb 10 09:24:19 CET 1998"
"15","366","HARVESTED","Wed Aug 12 00:26:43 CEST 2020"
"15","9","HARVESTED","Sat Jun 06 16:01:07 CEST 2009"
"15","121","FOUND","Wed Feb 03 21:13:41 CET 2016"
"15","234","REWARD","Fri Dec 31 21:45:47 CET 1999"
"16","5","FOUND","Mon May 06 06:14:36 CEST 2013"
"16","516","HARVESTED","Mon Aug 23 20:34:52 CEST 1999"
"16","392","GIFTED","Thu Oct 23 05:50:23 CEST 2003"
"16","154","HARVESTED","Thu Mar 06 14:19:02 CET 2003"
"16","489","FOUND","Fri Apr 17 20:18:29 CEST 2020"
"17","291","FOUND","Tue May 22 14:52:36 CEST 2018"
"17","84","FOUND","Wed May 29 16:39:01 CEST 1996"
"17","466","FOUND","Mon Jan 23 15:15:12 CET 2023"
"17","116","GIFTED","Wed Dec 28 19:15:49 CET 2005"
"17","25","FOUND","Mon Dec 28 08:13:46 CET 2020"
"17","226","GIFTED","Thu Oct 21 00:12:08 CEST 2021"
"17","175","GIFTED","Sat Mar 02 06:50:28 CET 2002"
"17","325","REWARD","Sun Nov 11 22:36:08 CET 2001"
"17","301","HARVESTED","Wed Jul 30 04:54:42 CEST 2014"
"17","59","REWARD","Sat May 03 12:12:03 CEST 2003"
"17","554","GIFTED","Sun Dec 07 19:06:55 CET 2008"
"17","502","REWARD","Fri Mar 11 21:01:15 CET 2022"
"17","503","FOUND","Fri Apr 26 12:54:37 CEST 2002"
"17","14","HARVESTED","Wed Dec 09 14:00:38 CET 1998"
"17","35","GIFTED","Fri Jan 26 16:47:32 CET 2001"
"17","138","FOUND","Fri Sep 26 08:04:55 CEST 2008"
"17","208","GIFTED","Tue May 27 15:55:16 CEST 2003"
"17","116","HARVESTED","Sun Jul 01 22:25:07 CEST 2001"
"17","562","GIFTED","Sat May 10 20:24:38 CEST 2003"
"17","466","FOUND","Sun Aug 07 03:21:29 CEST 2005"
"17","121","REWARD","Sat Jul 27 18:22:34 CEST 2002"
"17","548","FOUND","Fri Oct 24 08:34:17 CEST 2003"
"17","503","FOUND","Wed Oct 13 16:33:46 CEST 2010"
"17","229","GIFTED","Tue Sep 09 14:45:20 CEST 2003"
"18","2","GIFTED","Mon Nov 01 04:29:30 CET 1999"
"18","25","GIFTED","Wed Oct 25 11:24:18 CEST 2000"
"18","105","FOUND","Sun Sep 16 21:05:38 CEST 2007"
"18","20","GIFTED","Sat Jun 13 11:57:14 CEST 2020"
"18","163","REWARD","Fri Jan 03 17:06:58 CET 2014"
"18","195","FOUND","Wed Feb 15 17:10:48 CET 2023"
"18","545","HARVESTED","Fri Oct 10 21:09:58 CEST 2003"
"18","138","GIFTED","Thu Oct 31 03:26:32 CET 1996"
"18","165","REWARD","Tue Sep 16 05:17:53 CEST 2014"
"18","451","REWARD","Sun Sep 07 22:22:18 CEST 1997"
"18","342","HARVESTED","Mon Mar 16 02:30:04 CET 1998"
"18","445","HARVESTED","Sun May 09 03:57:28 CEST 2021"
"18","13","GIFTED","Sun Apr 27 05:06:11 CEST 2003"
"18","28","GIFTED","Thu Dec 25 07:58:44 CET 2008"
"18","503","GIFTED","Mon Mar 07 14:28:14 CET 2005"
"18","264","REWARD","Tue Jun 24 15:36:08 CEST 2008"
"18","529","HARVESTED","Tue Mar 30 11:58:50 CEST 2010"
"18","61","GIFTED","Fri Jul 17 00:59:08 CEST 2009"
"18","507","HARVESTED","Mon Apr 26 23:59:52 CEST 2004"
"18","207","FOUND","Mon Jan 14 19:37:49 CET 2002"
"18","264","HARVESTED","Tue Nov 18 17:20:51 CET 2014"
"19","456","FOUND","Wed Dec 23 23:22:37 CET 1998"
"19","50","GIFTED","Sun Nov 24 23:52:36 CET 1996"
"19","313","HARVESTED","Wed Sep 23 19:03:35 CEST 2020"
"19","317","FOUND","Tue Apr 11 05:06:34 CEST 2017"
"19","213","FOUND","Fri Oct 09 18:56:18 CEST 1998"
"19","413","FOUND","Sun Nov 15 06:38:45 CET 2020"
"19","537","HARVESTED","Mon Nov 11 21:42:17 CET 2002"
"19","439","FOUND","Sat Mar 17 20:50:45 CET 2012"
"19","556","REWARD","Tue Jan 08 22:08:49 CET 2002"
"20","362","HARVESTED","Mon Jan 26 14:31:42 CET 2009"
"20","411","FOUND","Sun Jul 14 22:59:29 CEST 1996"
"20","311","HARVESTED","Sat Oct 09 01:49:46 CEST 2010"
"20","539","HARVESTED","Fri Dec 01 18:59:32 CET 2017"
"20","67","HARVESTED","Sun Mar 25 20:04:28 CEST 2018"
"20","213","HARVESTED","Mon Sep 13 08:23:22 CEST 2004"
"20","442","REWARD","Sat Nov 17 23:00:19 CET 2012"
